symbol,weight
ACWI,0.04870594660107644
AM,0.09869956015238522
AUPH,0.014591699053889498
B,0.09196887813869238
BB,0.013942286432541813
CSTM,0.0977834643411714
DNOW,0.015254501626192808
DOCS,0.012543036557679271
EFXT,0.01434063747347158
EXEL,0.01384520928811355
FHI,0.011890276448592682
FTI,0.012434801120787991
GLD,0.049648822314201514
HLX,0.015947431588146262
HQY,0.009559309153068084
IAK,0.044523227196436505
ITA,0.025929640025562754
KGC,0.08803892753321721
LEG,0.01432390003477705
NEM,0.01253634158220146
OI,0.013639896706794006
OII,0.013434584125474464
OPLN,0.013407804223563217
PBI,0.015129528750606998
QRVO,0.008715742242863873
SEIC,0.00980255992876189
SKY,0.008745869632514024
SLV,0.05050689500460765
TLT,0.06805554156119709
UDMY,0.013954560554251132
VMC,0.06707026433671255
YUMC,0.011028856270447642
